Ticker,Company,Sector,Industry
CCI,CROWN CASTLE INC,Real Estate,REIT - Other
CCL,CARNIVAL CORP,Consumer Discretionary,Leisure and Recreation Services
CDE,Coeur Mining Inc,Materials,Mining - Non Ferrous
CDNS,CADENCE DESIGN SYS INC,Information Technology,Computer - Software
CDNS,Cadence Design Systems Inc,Information Technology,Computer - Software
CDW,CDW CORP/DE,Information Technology,Computer - Networking
CEG,Constellation Energy Corp,Utilities,Utility - Electric Power
CF,CF INDUSTRIES HOLDINGS INC,Materials,Chemical - Diversified
CFG,CITIZENS FINANCIAL GROUP,Financials,Banks - Major Regional
CHD,CHURCH + DWIGHT CO INC,Consumer Staples,Soap and Cleaning Materials
CHKP,Check Point Software Technologies Ltd,Information Technology,Internet - Software
CHRW,CH Robinson Worldwide Inc,Industrials,Transportation - Air Freight
CHTR,Charter Communications Inc,Communication Services,Cable Television
CI,THE CIGNA GROUP,Health Care,Medical - Services
CINF,CINCINNATI FINANCIAL CORP,Financials,Insurance - Property and Casualty
CL,COLGATE PALMOLIVE CO,Consumer Staples,Soap and Cleaning Materials
CLX,CLOROX COMPANY,Consumer Staples,Soap and Cleaning Materials
CMC,Commercial Metals Co,Materials,Steel - Producers
CMCSA,COMCAST CORP CLASS A,Communication Services,Cable Television
CMCSA,Comcast Corp,Communication Services,Cable Television
CME,CME GROUP INC,Financials,Financial - Miscellaneous Services
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Retail - Restaurants
CMI,CUMMINS INC,Industrials,Engines
CMS,CMS ENERGY CORP,Utilities,Utility - Electric Power
CNC,CENTENE CORP,Health Care,Medical - Services
CNP,CENTERPOINT ENERGY INC,Utilities,Utility - Electric Power
COF,CAPITAL ONE FINANCIAL CORP,Financials,Financial - Miscellaneous Services
COIN,COINBASE GLOBAL INC  CLASS A,Financials,Financial - Miscellaneous Services
COMP,Compass Inc Class A,Real Estate,Real Estate Operations
COO,COOPER COS INC/THE,Health Care,Medical - Products
COP,CONOCOPHILLIPS,Energy,Oil and Gas - Exploration
COPX,Global X Copper Miners,Commodities,Copper Mining
COR,CENCORA INC,Health Care,Medical - Drugs
COST,Costco Wholesale Corp,Consumer Staples,Retail - Discount Stores
CPAY,CORPAY INC,Financials,Financial Transaction Services
CPB,THE CAMPBELL S COMPANY,Consumer Staples,Food - Miscellaneous
CPRT,Copart Inc,Industrials,Auction and Valuation Services
CPT,CAMDEN PROPERTY TRUST,Real Estate,REIT - Residential
CRDO,CreDO Technology Group Holding Ltd,Information Technology,Computer - Networking
CRH,CRH PLC,Materials,Building Materials
CRL,CHARLES RIVER LABORATORIES,Health Care,Medical - Services
CRM,SALESFORCE INC,Information Technology,Computer - Software
CRWD,Crowdstrike Holdings Inc,Information Technology,Internet - Software
CRWV,CoreWeave Inc,Information Technology,Computer - Services
CSCO,Cisco Systems Inc,Information Technology,Communication - Network
CSGP,CoStar Group Inc,Real Estate,Real Estate Operations
CSX,CSX Corp,Industrials,Transportation - Rail
CTAS,Cintas Corp,Industrials,Uniform and Related
CTRA,COTERRA ENERGY INC,Energy,Oil and Gas - Exploration
CTRE,CareTrust REIT Inc,Real Estate,REIT - Healthcare Facilities
CTSH,Cognizant Technology Solutions Corp,Information Technology,Computer - Software
CTVA,CORTEVA INC,Materials,Agricultural - Products
CVNA,CARVANA CO,Consumer Discretionary,Internet - Commerce
CVS,CVS HEALTH CORP,Health Care,Retail - Drug Stores
CVX,CHEVRON CORP,Energy,Oil and Gas - Integrated
CYBR,CyberArk Software Ltd,Information Technology,Internet - Software
D,DOMINION ENERGY INC,Utilities,Utility - Electric Power
DAL,DELTA AIR LINES INC,Industrials,Transportation - Airline
DASH,DOORDASH INC   A,Consumer Discretionary,Internet - Delivery Services
DASH,DoorDash Inc,Consumer Discretionary,Internet - Delivery Services
DAY,DAYFORCE INC,Information Technology,Computer - Software
DD,DUPONT DE NEMOURS INC,Materials,Chemical - Diversified
DDOG,Datadog Inc,Information Technology,Internet - Software
DE,DEERE + CO,Industrials,Construction and Farm Machinery
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,Apparel
DELL,DELL TECHNOLOGIES  C,Information Technology,Computer - Networking
DG,DOLLAR GENERAL CORP,Consumer Discretionary,Retail - Discount Stores
DGX,QUEST DIAGNOSTICS INC,Health Care,Medical - Services
DHI,DR HORTON INC,Consumer Discretionary,Construction - Home Builders
DHR,DANAHER CORP,Health Care,Medical - Instruments
DIS,WALT DISNEY CO/THE,Communication Services,Media - Diversified
DKNG,DraftKings Inc,Consumer Discretionary,Leisure and Recreation Services
DLR,DIGITAL REALTY TRUST INC,Real Estate,REIT - Retail
DLTR,DOLLAR TREE INC,Consumer Discretionary,Retail - Discount Stores
DOC,HEALTHPEAK PROPERTIES INC,Real Estate,REIT - Healthcare Facilities
DOCU,Docusign Inc,Information Technology,Internet - Software
DOV,DOVER CORP,Industrials,Diversified Operations
DOW,DOW INC,Materials,Chemical - Diversified
DPZ,Domino's Pizza Inc,Consumer Discretionary,Retail - Restaurants
DRI,DARDEN RESTAURANTS INC,Consumer Discretionary,Retail - Restaurants
DTE,DTE ENERGY COMPANY,Utilities,Utility - Electric Power
DUK,DUKE ENERGY CORP,Utilities,Utility - Electric Power
DVA,DAVITA INC,Health Care,Medical - Outpatient and Home Healthcare
DVN,DEVON ENERGY CORP,Energy,Oil and Gas - Exploration
DXCM,Dexcom Inc,Health Care,Medical - Products
DY,Dycom Industries Inc,Industrials,Construction - Engineering
EA,Electronic Arts Inc,Communication Services,Computer - Software
EAT,Brinker International Inc,Consumer Discretionary,Retail - Restaurants
EBAY,EBAY INC,Consumer Discretionary,Internet - Commerce
ECL,ECOLAB INC,Materials,Chemical - Diversified
ED,CONSOLIDATED EDISON INC,Utilities,Utility - Electric Power
EFX,EQUIFAX INC,Industrials,Business - Information Services
EG,EVEREST GROUP LTD,Financials,Insurance - Property and Casualty
EIX,EDISON INTERNATIONAL,Utilities,Utility - Electric Power
EL,ESTEE LAUDER COMPANIES CL A,Consumer Staples,Consumer Products - Misc
ELV,ELEVANCE HEALTH INC,Health Care,Medical - Services
EME,EMCOR GROUP INC,Industrials,Construction - Engineering
EMR,EMERSON ELECTRIC CO,Industrials,Diversified Operations
ENSG,Ensign Group Inc,Health Care,Medical - Outpatient and Home Healthcare
EOG,EOG RESOURCES INC,Energy,Oil and Gas - Exploration
EPAM,EPAM SYSTEMS INC,Information Technology,Computer - Services
EQIX,EQUINIX INC,Real Estate,REIT - Retail
EQR,EQUITY RESIDENTIAL,Real Estate,REIT - Residential
EQT,EQT CORP,Energy,Oil and Gas - Exploration
ERIE,ERIE INDEMNITY COMPANY CL A,Financials,Insurance - Property and Casualty
ES,EVERSOURCE ENERGY,Utilities,Utility - Electric Power
ESS,ESSEX PROPERTY TRUST INC,Real Estate,REIT - Residential
ETN,EATON CORP PLC,Industrials,Diversified Operations
ETR,ENTERGY CORP,Utilities,Utility - Electric Power
EVRG,EVERGY INC,Utilities,Utility - Electric Power
EW,EDWARDS LIFESCIENCES CORP,Health Care,Medical - Products
EXC,Exelon Corp,Utilities,Utility - Electric Power
EXE,EXPAND ENERGY CORP,Energy,Energy - Alternative/Other
EXPD,EXPEDITORS INTL WASH INC,Industrials,Transportation - Air Freight
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,Internet - Services
EXR,EXTRA SPACE STORAGE INC,Real Estate,REIT - Self Storage
F,FORD MOTOR CO,Consumer Discretionary,Automotive - Domestic
FANG,Diamondback Energy Inc,Energy,Oil and Gas - Exploration
FAST,Fastenal Co,Industrials,Retail - Building Products
FCX,FREEPORT MCMORAN INC,Materials,Mining - Non Ferrous
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,Business - Information Services
FDX,FEDEX CORP,Industrials,Transportation - Air Freight
FE,FIRSTENERGY CORP,Utilities,Utility - Electric Power
FER,Ferrovial SE,Industrials,Construction - Engineering
FFIV,F5 INC,Information Technology,Computer - Networking
FICO,FAIR ISAAC CORP,Information Technology,Computer - Software
FIS,FIDELITY NATIONAL INFO SERV,Financials,Financial Transaction Services
FISV,FISERV INC,Financials,Financial Transaction Services
FITB,FIFTH THIRD BANCORP,Financials,Banks - Major Regional
FIX,COMFORT SYSTEMS USA INC,Industrials,Construction - Engineering
FLEX,Flex Ltd,Information Technology,Electronic - Manufacturing Services
FLR,Fluor Corp,Industrials,Construction - Engineering
FN,Fabrinet,Information Technology,Electronics - Miscellaneous Components
FOX,Fox Corp,Communication Services,Broadcast Radio and Television
FRT,FEDERAL REALTY INVS TRUST,Real Estate,REIT - Retail
FSLR,First Solar Inc,Information Technology,Solar
FTNT,Fortinet Inc,Information Technology,Internet - Software
FTV,FORTIVE CORP,Industrials,Diversified Operations
FWONK,Liberty Media Corp-Liberty Formula One,Communication Services,Media - Diversified
GDDY,GODADDY INC   CLASS A,Information Technology,Internet - Services
GDX,VanEck Gold Miners,Precious Metals,Gold Miners
GDXJ,VanEck Junior Gold Miners,Precious Metals,Gold Mining
GE,GENERAL ELECTRIC,Industrials,Diversified Operations
GEHC,GE HealthCare Technologies Inc,Health Care,Medical Products
GEN,GEN DIGITAL INC,Information Technology,Internet - Software
GEV,GE VERNOVA INC,Industrials,Diversified Operations
GFS,GLOBALFOUNDRIES Inc,Information Technology,Semiconductor - General
GH,Guardant Health Inc,Health Care,Medical - Biomedical and Genetics
GILD,Gilead Sciences Inc,Health Care,Medical - Biomedical and Genetics
GIS,GENERAL MILLS INC,Consumer Staples,Food - Miscellaneous
GL,GLOBE LIFE INC,Financials,Insurance - Life
GLD,SPDR Gold,Precious Metals,Gold Bullion
GLW,CORNING INC,Information Technology,Electronic - Parts
GM,GENERAL MOTORS CO,Consumer Discretionary,Automotive - Domestic
GNRC,GENERAC HOLDINGS INC,Industrials,Industrial - Machinery
GOOGL,Alphabet Inc,Communication Services,Internet - Services
GPC,GENUINE PARTS CO,Consumer Discretionary,Retail - Auto and Home Supply
GPN,GLOBAL PAYMENTS INC,Financials,Financial Transaction Services
GRAB,Grab Holdings Ltd,Financials,Financial - Miscellaneous Services
GRMN,GARMIN LTD,Consumer Discretionary,Computer - Peripherals
GS,GOLDMAN SACHS GROUP INC,Financials,Investment Bank
GTLS,Chart Industries Inc,Industrials,Industrial - Machinery
GWW,WW GRAINGER INC,Industrials,Industrial - Supplies
HAL,HALLIBURTON CO,Energy,Oil and Gas - Field Services
HAS,HASBRO INC,Consumer Discretionary,Leisure and Recreation Products
HBAN,HUNTINGTON BANCSHARES INC,Financials,Banks - Major Regional
HCA,HCA HEALTHCARE INC,Health Care,Medical - Outpatient and Home Healthcare
HD,HOME DEPOT INC,Consumer Discretionary,Retail - Home Improvement
HIG,HARTFORD INSURANCE GROUP INC,Financials,Insurance - Property and Casualty
HL,Hecla Mining Company,Materials,Mining - Gold
HLT,HILTON WORLDWIDE HOLDINGS IN,Consumer Discretionary,Hotels and Motels
HOLX,HOLOGIC INC,Health Care,Medical - Products
HON,Honeywell International Inc,Industrials,Diversified Operations
HOOD,ROBINHOOD MARKETS INC   A,Financials,Financial - Miscellaneous Services
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,Computer - Networking
HPQ,HP INC,Information Technology,Computer - Mini computers
HRL,HORMEL FOODS CORP,Consumer Staples,Food - Miscellaneous
HSIC,HENRY SCHEIN INC,Health Care,Medical - Dental Supplies
HST,HOST HOTELS + RESORTS INC,Real Estate,REIT - Hotel/Motel
HSY,HERSHEY CO/THE,Consumer Staples,Food - Miscellaneous
HTHT,H World Group Ltd,Consumer Discretionary,Hotels and Motels
HUBB,HUBBELL INC,Industrials,Electronic - Misc Components
HUM,HUMANA INC,Health Care,Medical - Services
IBKR,INTERACTIVE BROKERS GRO CL A,Financials,Financial - Miscellaneous Services
IBM,INTL BUSINESS MACHINES CORP,Information Technology,Computer - Services
IBP,Installed Building Products Inc,Consumer Discretionary,Building Materials
ICE,INTERCONTINENTAL EXCHANGE IN,Financials,Financial - Miscellaneous Services
ICLR,ICON PLC,Health Care,Medical - Services
IDCC,InterDigital Inc,Information Technology,Computer - Software
IDXX,IDEXX Laboratories Inc,Health Care,Medical - Products
IEX,IDEX CORP,Industrials,Diversified Operations
IFF,INTL FLAVORS + FRAGRANCES,Materials,Chemical - Specialty
ILMN,Illumina Inc,Health Care,Medical - Biomedical and Genetics
INCY,INCYTE CORP,Health Care,Medical - Biomedical and Genetics
INSM,Insmed Inc,Health Care,Medical - Biomedical and Genetics
INTC,Intel Corp,Information Technology,Semiconductor - General
INTU,Intuit Inc,Information Technology,Computer Software
INVH,INVITATION HOMES INC,Real Estate,REIT - Residential
IONQ,IonQ Inc,Information Technology,Computer - Software
IONS,Ionis Pharmaceuticals Inc,Health Care,Medical - Biomedical and Genetics
IP,INTERNATIONAL PAPER CO,Materials,Containers - Paper and Packaging
IQV,IQVIA HOLDINGS INC,Health Care,Medical - Drugs
IR,INGERSOLL RAND INC,Industrials,Diversified Operations
IREN,IREN Ltd,Information Technology,Computer - Services
IRM,IRON MOUNTAIN INC,Real Estate,REIT - Other
ISRG,Intuitive Surgical Inc,Health Care,Medical - Instruments
IT,GARTNER INC,Information Technology,Computer - Services
ITW,ILLINOIS TOOL WORKS,Industrials,Diversified Operations
IVZ,INVESCO LTD,Financials,Investment - Mutual Fund
J,JACOBS SOLUTIONS INC,Industrials,Construction - Engineering
JBHT,JB Hunt Transport Services Inc,Industrials,Transportation - Truck
JBL,JABIL INC,Information Technology,Electronic - Manufacturing Services
JBTM,JBT Marel Corp,Industrials,Industrial - Machinery
JCI,JOHNSON CONTROLS INTERNATION,Industrials,Building Products
JD,JD.com Inc,Consumer Discretionary,Internet - Commerce
JKHY,JACK HENRY + ASSOCIATES INC,Information Technology,Computer - Services
JNJ,JOHNSON + JOHNSON,Health Care,Large Cap Pharmaceuticals
JPM,JPMORGAN CHASE + CO,Financials,Banks - Major Regional
JXN,Jackson Financial Inc Class A,Financials,Insurance - Life
KDP,Keurig Dr Pepper Inc,Consumer Staples,Beverages - Soft drinks
KEY,KEYCORP,Financials,Banks - Major Regional
KEYS,KEYSIGHT TECHNOLOGIES IN,Information Technology,Electronic - Misc Components
KHC,Kraft Heinz Co/The,Consumer Staples,Food - Miscellaneous
KIM,KIMCO REALTY CORP,Real Estate,REIT - Retail
KKR,KKR + CO INC,Financials,Financial - Miscellaneous Services
KLAC,KLA Corp,Information Technology,Semiconductor Equipment - Wafer Inspection
KMB,Kimberly-Clark Corp,Consumer Staples,Consumer Products - Misc
KMI,KINDER MORGAN INC,Energy,Oil and Gas - Field Services
KO,COCA COLA CO/THE,Consumer Staples,Beverages - Soft drinks
KR,KROGER CO,Consumer Staples,Retail - Supermarkets
KVUE,KENVUE INC,Consumer Staples,Consumer Products - Misc
L,LOEWS CORP,Financials,Insurance - Property and Casualty
LECO,Lincoln Electric Holdings Inc,Industrials,Industrial - Machinery
LEN,LENNAR CORP W/D,Consumer Discretionary,Construction - Home Builders
LH,LABCORP HOLDINGS INC,Health Care,Medical - Services
LII,LENNOX INTERNATIONAL INC,Industrials,Building Products
LIN,Linde PLC,Materials,Chemical - Specialty
LITE,Lumentum Holdings Inc,Information Technology,Communication - Components
LLY,ELI LILLY + CO,Health Care,Large Cap Pharmaceuticals
LNT,ALLIANT ENERGY CORP,Utilities,Utility - Electric Power
LOGI,Logitech International SA,Information Technology,Computer - Peripherals
LOW,LOWE S COS INC,Consumer Discretionary,Retail - Home Improvement
LRCX,Lam Research Corp,Information Technology,Semiconductor Equipment - Wafer Fabrication
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,Apparel
LUMN,Lumen Technologies Inc,Communication Services,Communication - Network
LUV,SOUTHWEST AIRLINES CO,Industrials,Transportation - Airline
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,Hotels and Motels
LW,LAMB WESTON HOLDINGS INC,Consumer Staples,Food - Miscellaneous
LYB,LYONDELLBASELL INDU CL A,Materials,Chemical - Diversified
LYV,LIVE NATION ENTERTAINMENT IN,Communication Services,Leisure and Recreation Services
MA,MASTERCARD INC   A,Financials,Financial Transaction Services
MAA,MID AMERICA APARTMENT COMM,Real Estate,REIT - Residential
MAR,Marriott International Inc/MD,Consumer Discretionary,Hotels and Motels
MAS,MASCO CORP,Industrials,Building Products
MCD,MCDONALD S CORP,Consumer Discretionary,Retail - Restaurants
MCHP,Microchip Technology Inc,Information Technology,Semiconductor - Analog and Mixed
MCK,MCKESSON CORP,Health Care,Medical - Drugs
MCO,MOODY S CORP,Financials,Financial - Miscellaneous Services
MDB,MongoDB Inc,Information Technology,Computer - Software
MDGL,Madrigal Pharmaceuticals Inc,Health Care,Medical - Biomedical and Genetics
MDLZ,Mondelez International Inc,Consumer Staples,Food - Miscellaneous
MDT,MEDTRONIC PLC,Health Care,Medical - Products
MEDP,Medpace Holdings Inc,Health Care,Medical - Services
MELI,MercadoLibre Inc,Consumer Discretionary,Internet - Commerce
MET,METLIFE INC,Financials,Insurance - Life
META,Meta Platforms Inc,Communication Services,Internet - Software
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Hotels and Motels
MKC,MCCORMICK + CO NON VTG SHRS,Consumer Staples,Food - Miscellaneous
MLM,MARTIN MARIETTA MATERIALS,Materials,Building Materials
MMM,3M CO,Industrials,Diversified Operations
MNST,Monster Beverage Corp,Consumer Staples,Beverages - Soft drinks
MO,ALTRIA GROUP INC,Consumer Staples,Tobacco
MOD,Modine Manufacturing Co,Industrials,Auto - Truck Parts
MOH,MOLINA HEALTHCARE INC,Health Care,Medical - Services
MOS,MOSAIC CO/THE,Materials,Chemical - Diversified
MPC,MARATHON PETROLEUM CORP,Energy,Oil and Gas - Refining
MPWR,Monolithic Power Systems Inc,Information Technology,Semiconductor - Analog and Mixed
MRK,MERCK + CO. INC.,Health Care,Large Cap Pharmaceuticals
MRNA,MODERNA INC,Health Care,Medical - Biomedical and Genetics
MRSH,MARSH + MCLENNAN COS,Financials,Insurance - Brokerage
MRVL,Marvell Technology Inc,Information Technology,Semiconductor - Integrated Circuits
MS,MORGAN STANLEY,Financials,Investment Bank
MSCI,MSCI INC,Financials,Financial - Miscellaneous Services
MSFT,Microsoft Corp,Information Technology,Computer - Software
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Communication - Components
MSTR,Strategy Inc,Information Technology,Computer - Software
MTB,M + T BANK CORP,Financials,Banks - Major Regional
MTCH,MATCH GROUP INC,Communication Services,Internet - Services
MTD,METTLER TOLEDO INTERNATIONAL,Health Care,Medical - Instruments
MTSI,MACOM Technology Solutions Holdings Inc,Information Technology,Semiconductor - Analog and Mixed
MU,Micron Technology Inc,Information Technology,Semiconductor Memory
NBIS,Nebius Group NV,Information Technology,Computer - Services
NBIX,Neurocrine Biosciences Inc,Health Care,Medical - Biomedical and Genetics
NCLH,NORWEGIAN CRUISE LINE HOLDIN,Consumer Discretionary,Leisure and Recreation Services
NDAQ,NASDAQ INC,Financials,Financial - Miscellaneous Services
NDSN,NORDSON CORP,Industrials,Industrial - Machinery
NEE,NEXTERA ENERGY INC,Utilities,Utility - Electric Power
NEM,NEWMONT CORP,Materials,Mining - Gold
NFLX,Netflix Inc,Communication Services,Broadcast Radio and Television
NI,NISOURCE INC,Utilities,Utility - Gas Distribution
NKE,NIKE INC  CL B,Consumer Discretionary,Shoes and Related Apparel
NOW,SERVICENOW INC,Information Technology,Computer - Software
NRG,NRG ENERGY INC,Utilities,Utility - Electric Power
NSC,NORFOLK SOUTHERN CORP,Industrials,Transportation - Rail
NTAP,NETAPP INC,Information Technology,Computer - Storage Devices
NTNX,Nutanix Inc,Information Technology,Computer - Software
NTRA,Natera Inc,Health Care,Medical - Biomedical and Genetics
NTRS,NORTHERN TRUST CORP,Financials,Banks - Major Regional
NUE,NUCOR CORP,Materials,Steel - Producers
NVDA,NVIDIA Corp,Information Technology,Semiconductor - General
NVR,NVR INC,Consumer Discretionary,Construction - Home Builders
NWS,News Corp,Communication Services,Media - Diversified
NXPI,NXP Semiconductors NV,Information Technology,Semiconductor - Analog and Mixed
NXT,Nextpower Inc Class A,Industrials,Solar
O,REALTY INCOME CORP,Real Estate,REIT - Retail
ODFL,Old Dominion Freight Line Inc,Industrials,Transportation - Truck
OKE,ONEOK INC,Energy,Oil and Gas - Field Services
OKLO,Oklo Inc Class A,Utilities,Utility - Electric Power
OKTA,Okta Inc,Information Technology,Internet - Software
OMC,OMNICOM GROUP,Communication Services,Advertising and Marketing
ON,ON Semiconductor Corp,Information Technology,Semiconductor - Integrated Circuits
ONB,Old National Bancorp,Financials,Banks - Regional
ORA,Ormat Technologies Inc,Utilities,Utility - Electric Power
ORCL,ORACLE CORP,Information Technology,Computer - Software
ORLY,O REILLY AUTOMOTIVE INC,Consumer Discretionary,Retail - Auto and Home Supply
OTIS,OTIS WORLDWIDE CORP,Industrials,Diversified Operations
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Oil and Gas - Exploration
PANW,Palo Alto Networks Inc,Information Technology,Security and Safety Services
PAYC,PAYCOM SOFTWARE INC,Information Technology,Computer - Software
PAYX,Paychex Inc,Industrials,Outsourcing
PCAR,PACCAR Inc,Industrials,Trucks and Other Vehicles
PCG,P G + E CORP,Utilities,Utility - Electric Power
PDD,PDD Holdings Inc,Consumer Discretionary,Internet - Commerce
PEG,PUBLIC SERVICE ENTERPRISE GP,Utilities,Utility - Electric Power
